date,amzn_close,amzn_volume,fb_close,fb_volume,intc_close,intc_volume
6/21/2016,715.820007,2137500,114.379997,19166300,32.32,15476500
6/22/2016,710.599976,2260500,113.910004,14846300,32.290001,18304800
6/23/2016,722.080017,2825000,115.080002,16176900,32.990002,22048800
6/24/2016,698.960022,7632500,112.080002,40643100,31.549999,38094300
6/27/2016,691.359985,5568000,108.970001,36130400,30.719999,34965100
6/28/2016,707.950012,4037000,112.699997,26813800,31.190001,23693900
6/29/2016,715.599976,3070100,114.160004,20968300,31.93,22771100
6/30/2016,715.619995,2855100,114.279999,23192700,32.799999,34528900
7/1/2016,725.679993,2920400,114.190002,14980000,32.75,17084600
7/5/2016,728.099976,2431400,114.199997,14207000,32.68,20107200
7/6/2016,737.609985,3938200,116.699997,24337600,32.970001,21070200
7/7/2016,736.570007,2945800,115.849998,16630200,33.200001,26119400
7/8/2016,745.809998,3429200,117.239998,18142600,34,23341900
7/11/2016,753.780029,3195300,117.870003,17711600,34.380001,23820700
7/12/2016,748.210022,5623700,117.930000,15217700,34.939999,28064100
7/13/2016,742.630005,4142300,116.779999,16207700,35.009998,29120900
7/14/2016,741.200012,2390500,117.290001,14579700,35.200001,25296400
7/15/2016,735.440002,3121400,116.860001,16646000,35.07,23661900
7/18/2016,736.070007,2954900,119.370003,20868400,35.049999,19347200
7/19/2016,739.950012,2216800,120.610001,21541300,35.150002,20395400
7/20/2016,745.719971,2214000,121.919998,20046500,35.689999,42994200
7/21/2016,744.429993,2317100,120.610001,17801700,34.27,63708600
7/22/2016,744.859985,2277700,121.000000,18422400,34.66,33033700
7/25/2016,739.609985,2679300,121.629997,18487400,34.689999,20277700
7/26/2016,735.590027,2529700,121.220001,17612000,35.09,29644400
7/27/2016,736.669983,2913100,123.339996,52654200,34.830002,23601800
7/28/2016,752.609985,7617600,125.000000,78955800,34.77,21667400
7/29/2016,758.809998,6777100,123.940002,35058800,34.860001,18171200
8/1/2016,767.73999,3578200,124.309998,25006900,34.849998,18824400
8/2/2016,760.580017,3603300,123.089996,23968400,34.560001,20057300
8/3/2016,754.640015,3581500,122.510002,18525300,34.25,18388800
8/4/2016,760.77002,3178200,124.360001,21066000,34.580002,16362600
8/5/2016,765.97998,2704400,125.150002,20184000,34.98,20046200
8/8/2016,766.559998,1986300,125.260002,15233900,35.040001,19497300
8/9/2016,768.309998,1876100,125.059998,19621000,34.919998,12578900
8/10/2016,768.559998,1604300,124.879997,10670100,34.529999,19579000
8/11/2016,771.23999,2019700,124.900002,11729500,34.68,16364100
8/12/2016,772.559998,1563300,124.879997,12159000,34.57,15708300
8/15/2016,768.48999,2118500,123.900002,19295100,34.91,18931100
8/16/2016,764.039978,1604600,123.300003,14222400,35.209999,16320900
8/17/2016,764.630005,1891100,124.370003,13794200,35.02,18221600
8/18/2016,764.460022,1458800,123.910004,12400800,34.970001,16085200
8/19/2016,757.309998,2343200,123.559998,11688300,35.240002,16417600
8/22/2016,759.47998,1679300,124.150002,14386400,35.360001,14941400
8/23/2016,762.450012,1524100,124.370003,13309500,35.400002,18316000
8/24/2016,757.25,1744100,123.480003,12243700,35.150002,16343500
8/25/2016,759.219971,1623000,123.889999,10730800,35.09,12428000
8/26/2016,769,2776800,124.959999,17504800,35.259998,14469900
8/29/2016,771.289978,2198600,126.540001,15925900,35.549999,15264300
8/30/2016,767.580017,1709200,125.839996,17804300,35.700001,15183200
8/31/2016,769.159973,1633800,126.120003,14200600,35.889999,20562700
9/1/2016,770.619995,1792300,126.169998,13536100,36.02,18925800
9/2/2016,772.440002,2181800,126.510002,12118800,36.080002,16726700
9/6/2016,788.869995,3719800,129.729996,26278400,36.57,22337800
9/7/2016,784.47998,2424600,131.050003,27990800,36.459999,18495600
9/8/2016,784.059998,2030500,130.270004,15676600,36.439999,20356500
9/9/2016,760.140015,4257300,127.099998,27100700,35.439999,29457900
9/12/2016,771.48999,3124700,128.690002,21252800,36.080002,22796600
9/13/2016,761.01001,3117200,127.209999,18016200,35.610001,23591300
9/14/2016,761.090027,2523000,127.769997,15691100,35.619999,14074500
9/15/2016,769.690002,3034000,128.350006,15077200,36.560001,23736000
9/16/2016,778.52002,5499200,129.070007,24119200,37.669998,74577900
9/19/2016,775.099976,2297200,128.649994,14958800,37.16,30531700
9/20/2016,780.219971,1937200,128.639999,11083800,37.139999,24796900
9/21/2016,789.73999,2718600,129.940002,14068300,37.450001,21233700
9/22/2016,804.700012,4078900,130.080002,15538300,37.549999,17013400
9/23/2016,805.75,2353500,127.959999,28326300,37.189999,18062500
9/26/2016,799.159973,2651400,127.309998,15064900,36.650002,25518800
9/27/2016,816.109985,3819600,128.690002,15637100,37.18,22391600
9/28/2016,828.719971,4422100,129.229996,12047600,37.439999,19020800
9/29/2016,829.049988,4922200,128.089996,14532200,37.32,17675000
